id;fecha;valor;fecha_pago
1;2020-03-26T15:07:33;66735;2020-03-25T19:45:00
2;2020-03-25T21:03:26;25896;2020-03-26T09:09:22
3;2020-03-26T02:47:45;17222;2020-03-26T06:01:34
4;2020-03-26T02:32:53;97186;2020-03-26T07:03:48
5;2020-03-25T21:16:31;26606;2020-03-26T04:46:29
6;2020-03-26T07:39:47;87056;2020-03-26T07:44:04
7;2020-03-26T07:22:43;23235;2020-03-25T20:58:03
8;2020-03-26T12:06:48;11237;2020-03-26T02:42:03
9;2020-03-25T23:44:28;67822;2020-03-25T20:54:26
10;2020-03-26T12:21:59;99908;2020-03-25T17:10:47
